id;start_date;end_date;language
1;2020-08-14T16:21:17;2020-08-14T14:11:32;SPANISH
2;2020-08-13T21:11:28;2020-08-14T16:15:53;SPANISH
3;2020-08-14T12:06:47;2020-08-13T22:40:56;FRENCH
4;2020-08-14T03:24:18;2020-08-14T14:55:44;FRENCH
5;2020-08-14T12:54:36;2020-08-14T17:41:35;FRENCH
6;2020-08-14T06:46:57;2020-08-14T18:55:11;FRENCH
7;2020-08-14T08:32:17;2020-08-14T02:23:08;FRENCH
8;2020-08-14T07:28:30;2020-08-14T17:44:38;SPANISH
9;2020-08-14T06:09:39;2020-08-14T02:51:02;SPANISH
10;2020-08-14T14:21:43;2020-08-14T00:56:13;SPANISH
